Date,equity
2018-04-12,12357.027543329265
2018-04-13,12365.410439525836
2018-04-16,12354.967554666067
2018-04-17,12364.401230482421
2018-04-18,12334.112025264507
2018-04-19,12311.5789469413
2018-04-20,12297.447817273865
2018-04-23,12313.052216334076
2018-04-24,12293.751331177336
2018-04-25,12280.068571100133
2018-04-26,12321.936412251098
2018-04-27,12347.156615249383
2018-04-30,12390.746814142183
2018-05-01,12467.53456560305
2018-05-02,12520.234890659665
2018-05-03,12472.36505873117
2018-05-04,12487.767953495204
2018-05-07,12515.335702411656
2018-05-08,12566.490229074845
2018-05-09,12566.490229074845
2018-05-10,12497.399781543056
2018-05-11,12472.123158086195
2018-05-14,12491.943422365237
2018-05-15,12590.831156556515
2018-05-16,12632.5523167827
2018-05-17,12653.463177652231
2018-05-18,12688.503883154923
2018-05-21,12674.310094675795
2018-05-22,12667.162932037676
2018-05-23,12738.601781812406
2018-05-24,12716.63811145497
2018-05-25,12804.950692733632
2018-05-29,12932.76257585877
2018-05-30,12783.2769013169
2018-05-31,12767.552196841625
2018-06-01,12798.79379902156
2018-06-04,12783.030548269118
2018-06-05,12759.171263284188
2018-06-06,12703.421522287923
2018-06-07,12663.42890480455
2018-06-08,12671.489163765376
2018-06-11,12687.641043739932
2018-06-12,12728.132765894115
2018-06-13,12695.051503319226
2018-06-14,12953.370647298303
2018-06-15,12937.06930912072
2018-06-18,12937.090856967341
2018-06-19,12997.768000210888
2018-06-20,13015.73565998479
2018-06-21,12943.387510926896
2018-06-22,12850.555095726704
2018-06-25,12809.479162779191
2018-06-26,12942.892969874407
2018-06-27,13097.693948990476
2018-06-28,13097.693948990476
2018-06-29,13106.055031248743
2018-07-02,13197.719516129246
2018-07-03,13157.52801541407
2018-07-05,13362.731751813564
2018-07-06,13581.026500793236
2018-07-09,13837.568295937537
2018-07-10,13836.22362809544
2018-07-11,13688.275938338811
2018-07-12,13862.652342393701
2018-07-13,13865.76195732706
2018-07-16,13855.88018887162
2018-07-17,13931.123734619225
2018-07-18,13960.448596809323
2018-07-19,13984.668498650895
2018-07-20,13878.742320543446
2018-07-23,13885.20559919833
2018-07-24,13882.131619922913
2018-07-25,14164.313192437954
2018-07-26,13904.70464444929
2018-07-27,13533.617336155956
2018-07-30,13214.351161076402
2018-07-31,13385.839440954505
2018-08-01,13439.72095265985
2018-08-02,13713.173742989122
2018-08-03,13751.900291993501
2018-08-06,13912.59729604569
2018-08-07,14010.982968594657
2018-08-08,14037.760198799673
2018-08-09,14078.023253481724
2018-08-10,13894.76124432901
2018-08-13,13747.163118090857
2018-08-14,13993.614571153494
2018-08-15,13683.290000555095
2018-08-16,13888.66827836029
2018-08-17,13970.070314945358
2018-08-20,14089.074609187246
2018-08-21,14315.005185082468
2018-08-22,14344.03650766404
2018-08-23,14289.686515651241
2018-08-24,14452.851264195107
2018-08-27,14595.94145156887
2018-08-28,14629.465136049874
2018-08-29,14817.178547864994
2018-08-30,14715.329753333132
2018-08-31,14795.321213217927
2018-09-04,14758.940864727985
2018-09-05,14617.080903928565
2018-09-06,14510.538298528518
2018-09-07,14484.481966905956
